time,id,x,y,0,1,2,3,4,5,6,7,8
2,13,385730.0,6671168.0,-63.47,-29.38,-5.01,-4.65,-23.63,-34.77,-16.64,15.29,-27.94
2,14,385471.0,6671253.0,-53.61,-45.87,-20.53,-5.99,-20.04,-37.9,-13.54,-8.89,17.26
2,15,385651.0,6671580.0,-31.05,-8.74,1.42,-7.07,-0.61,6.01,-11.0,-4.21,-6.97
2,16,385570.0,6671407.0,-55.75,-38.17,-26.77,-11.48,-17.97,-27.19,-9.28,20.48,-20.45
2,17,385355.0,6671396.0,-52.88,-19.98,-32.17,-20.59,-18.14,-11.89,-9.16,-13.94,19.63
2,18,385623.0,6672086.0,16.48,-20.52,-12.97,-31.36,-5.12,-8.05,-32.14,-36.23,-28.75
2,19,386191.0,6671626.0,-48.75,4.34,-12.4,-12.51,-13.63,8.66,-22.63,-20.17,-33.61
2,2,386218.0,6671883.0,-45.44,-18.95,-21.18,-35.54,-19.78,28.83,-39.87,-33.19,-35.89
2,20,386106.0,6671320.0,-45.68,-5.08,8.82,0.11,-4.15,-3.78,-13.75,-12.89,-25.53
2,21,386014.0,6671468.0,-49.69,-22.55,16.44,-15.11,-3.57,-13.12,-20.94,-18.54,-32.45
2,22,385734.0,6671927.0,-7.19,-14.6,-3.45,-22.38,6.11,4.75,-23.72,-14.31,-6.81
2,23,386212.0,6671909.0,-41.82,-11.05,-19.99,-25.24,-18.92,23.28,-38.97,-32.36,-35.03
2,24,385777.0,6671676.0,-41.49,-14.13,-0.98,-20.98,10.4,-0.15,-25.12,-18.18,-21.08
2,25,385255.0,6671618.0,-63.68,-35.08,-47.72,-35.8,-37.4,-30.78,-35.0,-23.8,35.85
2,26,386001.0,6671471.0,-42.43,-15.94,6.08,-16.57,7.15,-15.01,-13.05,-10.59,-24.63
2,27,386112.0,6671783.0,-53.73,-2.86,-37.92,-53.78,-35.01,16.85,-52.93,-48.39,-51.32
2,28,385854.0,6671590.0,-48.14,-32.88,-3.87,-26.87,17.5,-21.92,-17.68,-24.17,-28.87
2,29,385507.0,6671493.0,-46.19,-14.64,-21.58,-8.69,-13.01,-5.97,-19.39,15.69,-9.15
2,3,385970.0,6671330.0,-50.06,-33.85,19.63,-15.76,-6.3,-27.18,-24.37,-25.75,-36.58
2,30,386026.0,6671166.0,-47.36,-34.43,20.24,-19.25,-6.73,-20.92,-28.4,-31.13,-40.98
2,31,385880.0,6671744.0,-24.09,-10.9,-6.49,-24.61,6.67,6.2,-22.06,-20.82,-22.64
2,32,385467.0,6671637.0,-43.48,-18.07,-16.26,-12.27,-3.11,0.87,-21.13,2.04,6.07
2,34,385779.0,6671543.0,-34.81,-19.48,-7.12,-23.12,9.27,-8.86,1.62,-4.78,-10.58
