,time,id,x,y,speed,east,north,coor,sinr,site
273,57,1,1877.21,772.95,7.61,386124,6671337,3861246671337,5.4627,6
274,57,2,1776.24,753.56,4.27,386023,6671318,3860236671318,26.3926,6
275,57,3,1362.79,617.82,8.27,385610,6671182,3856106671182,11.6456,9
276,57,4,1495.84,1391.75,5.89,385743,6671956,3857436671956,6.8217,10
277,57,5,1428.2,1207.71,6.21,385675,6671772,3856756671772,7.8348,2
278,57,6,1172.17,743.68,7.63,385419,6671308,3854196671308,9.5453,11
279,57,7,1793.57,1301.06,7.4,386041,6671865,3860416671865,27.5056,3
280,58,0,1450.14,1422.43,8.43,385697,6671987,3856976671987,15.4282,10
281,58,1,1877.5,765.18,7.87,386125,6671330,3861256671330,6.0807,6
282,58,2,1775.53,759.17,5.66,386023,6671324,3860236671324,26.4794,6
283,58,3,1370.21,622.66,8.86,385617,6671187,3856176671187,12.4877,9
284,58,4,1491.2,1398.01,7.77,385738,6671962,3857386671962,10.7038,10
285,58,5,1422.64,1204.11,6.62,385670,6671768,3856706671768,7.9169,8
286,58,6,1176.74,746.82,5.55,385424,6671311,3854246671311,9.3268,11
287,58,7,1785.07,1297.68,8.57,386032,6671862,3860326671862,24.7515,3
288,59,0,1454.96,1415.79,8.2,385702,6671980,3857026671980,11.9886,10
289,59,1,1877.75,757.14,8.05,386125,6671321,3861256671321,13.8741,6
290,59,2,1775.27,765.69,6.53,386022,6671330,3860226671330,14.8213,6
291,59,3,1377.44,627.36,8.62,385624,6671192,3856246671192,13.1949,9
292,59,4,1486.79,1403.99,7.43,385734,6671968,3857346671968,10.2104,10
293,59,5,1416.54,1200.17,7.27,385664,6671765,3856646671765,6.9090,8
294,59,6,1178.65,748.12,2.36,385426,6671312,3854266671312,9.2404,11
295,59,7,1777.05,1297.52,8.02,386024,6671862,3860246671862,23.7039,3
296,60,0,1459.5,1409.54,7.72,385707,6671974,3857076671974,11.4462,10
297,60,1,1878.0,748.58,8.57,386125,6671313,3861256671313,17.1235,6
298,60,2,1775.05,771.78,6.09,386022,6671336,3860226671336,22.9746,6
299,60,3,1384.77,632.14,8.75,385632,6671196,3856326671196,14.2763,9
300,60,4,1488.05,1402.28,7.45,385735,6671967,3857356671967,10.3814,10
301,60,5,1411.25,1196.73,6.3,385658,6671761,3856586671761,7.1759,8
302,60,6,1178.72,748.17,0.09,385426,6671313,3854266671313,9.2296,11
303,60,7,1769.81,1297.38,7.34,386017,6671862,3860176671862,23.6794,3
304,61,0,1463.91,1403.47,7.5,385711,6671968,3857116671968,12.4218,10
305,61,1,1878.28,740.55,8.03,386125,6671305,3861256671305,6.2342,6
306,61,2,1774.82,778.16,6.39,386022,6671343,3860226671343,25.1860,6
307,61,3,1392.11,636.91,8.75,385639,6671201,3856396671201,15.7698,9
308,61,4,1484.33,1407.66,6.54,385731,6671972,3857316671972,9.5440,10
309,61,5,1406.79,1193.83,6.49,385654,6671758,3856546671758,15.6436,8
310,61,6,1178.72,748.17,0.0,385426,6671313,3854266671313,9.2296,11
311,61,7,1762.4,1297.23,7.41,386009,6671862,3860096671862,13.5341,3
312,62,0,1468.59,1396.94,7.98,385716,6671961,3857166671961,11.0923,10
313,62,1,1878.54,731.84,8.72,386126,6671296,3861266671296,4.8482,6
314,62,2,1774.57,784.66,6.5,386022,6671349,3860226671349,25.1783,6
315,62,3,1398.58,641.13,7.72,385646,6671205,3856466671205,17.8093,9
316,62,4,1480.56,1413.11,6.62,385728,6671977,3857286671977,8.5792,10
317,62,5,1401.16,1190.17,6.72,385648,6671755,3856486671755,14.0579,8
318,62,6,1178.72,748.17,0.0,385426,6671313,3854266671313,9.2296,11
319,62,7,1754.9,1297.06,7.5,386002,6671861,3860026671861,25.4104,3
320,63,0,1472.14,1389.15,8.7,385719,6671953,3857196671953,10.3498,10
