,time,vehicle,x,y,east,north,coor,sinr,site
171,4,36,1663.06,1298.98,385911,6671864,3859116671864,23.6214,3
172,4,37,1302.04,1125.98,385550,6671691,3855506671691,15.3139,8
173,4,38,1248.79,1301.47,385496,6671866,3854966671866,26.4043,7
174,4,39,1169.22,868.65,385417,6671433,3854176671433,6.7914,1
175,4,4,1981.84,832.37,386229,6671397,3862296671397,15.4535,12
176,4,40,1982.4,803.67,386230,6671369,3862306671369,15.6556,12
177,4,42,1982.96,787.17,386231,6671352,3862316671352,16.6998,12
178,4,43,1126.57,843.28,385374,6671408,3853746671408,4.9511,1
179,4,45,1428.75,660.85,385676,6671226,3856766671226,35.7943,9
180,4,47,1850.42,909.02,386098,6671474,3860986671474,8.2035,12
181,4,48,1164.4,1417.48,385412,6671982,3854126671982,28.1967,5
182,4,49,1062.85,934.52,385310,6671499,3853106671499,17.8428,1
183,4,5,1187.42,1425.22,385435,6671990,3854356671990,17.9892,5
184,4,6,1570.47,1289.31,385818,6671854,3858186671854,12.7269,8
185,4,7,1792.28,807.15,386040,6671372,3860406671372,23.8797,6
186,4,8,1779.79,808.7,386027,6671374,3860276671374,24.7626,6
187,4,9,1962.23,965.91,386210,6671531,3862106671531,25.2510,12
188,5,0,1900.1,1529.33,386148,6672094,3861486672094,8.4270,10
189,5,1,1372.15,1526.67,385620,6672092,3856206672092,6.5890,10
190,5,10,1349.99,1556.91,385598,6672122,3855986672122,10.3221,5
191,5,11,1045.99,1168.6,385294,6671733,3852946671733,4.3773,7
192,5,12,1727.34,1296.71,385975,6671862,3859756671862,23.5635,3
193,5,13,1600.27,1294.92,385848,6671860,3858486671860,5.1631,3
194,5,14,1771.63,824.21,386019,6671389,3860196671389,22.3590,6
195,5,15,1977.38,908.98,386225,6671474,3862256671474,26.9736,12
196,5,16,1772.84,888.99,386020,6671454,3860206671454,7.9180,6
197,5,17,1787.92,1110.67,386035,6671676,3860356671676,11.3713,3
198,5,18,1545.37,794.95,385793,6671360,3857936671360,6.4058,6
199,5,19,1096.88,1321.59,385344,6671886,3853446671886,7.8762,7
200,5,2,1975.99,972.7,386224,6671538,3862246671538,25.3104,12
201,5,20,1922.56,966.07,386170,6671531,3861706671531,32.2157,12
202,5,21,1886.28,551.74,386134,6671117,3861346671117,8.0209,4
203,5,22,1794.62,1113.98,386042,6671679,3860426671679,10.9935,3
204,5,23,1021.57,1003.81,385269,6671569,3852696671569,19.0225,1
205,5,24,1408.98,1294.99,385657,6671860,3856576671860,6.4178,7
206,5,25,1043.97,1300.32,385292,6671865,3852926671865,12.1192,5
207,5,26,1889.1,1232.63,386137,6671797,3861376671797,30.7053,3
208,5,27,1238.09,667.05,385486,6671232,3854866671232,10.1578,11
209,5,28,1222.18,1457.8,385470,6672023,3854706672023,14.4073,5
210,5,29,1776.98,659.01,386025,6671224,3860256671224,22.1908,6
211,5,3,1865.29,1212.27,386113,6671777,3861136671777,11.4648,3
212,5,30,1266.57,623.22,385514,6671188,3855146671188,6.6239,11
213,5,31,1553.77,1272.07,385801,6671837,3858016671837,2.7352,3
214,5,32,1265.01,804.15,385513,6671369,3855136671369,11.3235,2
215,5,33,1854.11,1235.65,386102,6671800,3861026671800,22.6751,3
216,5,34,1295.98,955.42,385544,6671520,3855446671520,3.6414,8
217,5,35,1109.55,868.36,385357,6671433,3853576671433,6.8479,1
218,5,36,1655.58,1298.83,385903,6671864,3859036671864,23.0949,3
219,5,37,1294.47,1121.03,385542,6671686,3855426671686,14.6809,8
220,5,38,1254.21,1304.99,385502,6671870,3855026671870,26.0466,7
221,5,39,1174.7,872.24,385422,6671437,3854226671437,6.7492,1
222,5,4,1981.74,840.13,386229,6671405,3862296671405,18.2209,12
223,5,40,1982.13,811.76,386230,6671377,3862306671377,13.8478,12
224,5,42,1982.76,793.1,386230,6671358,3862306671358,16.7342,12
225,5,43,1130.22,843.43,385378,6671408,3853786671408,6.0897,11
226,5,45,1433.32,663.84,385681,6671229,3856816671229,36.4491,9
227,5,47,1842.3,908.79,386090,6671474,3860906671474,8.0842,12
228,5,48,1159.93,1414.19,385407,6671979,3854076671979,34.4377,5
229,5,49,1069.6,929.94,385317,6671495,3853176671495,17.3723,1
230,5,5,1192.46,1428.71,385440,6671994,3854406671994,21.2606,5
231,5,6,1566.0,1288.22,385814,6671853,3858146671853,12.8643,8
232,5,7,1795.25,808.03,386043,6671373,3860436671373,23.7722,6
233,5,8,1779.49,809.92,386027,6671375,3860276671375,24.8504,6
234,5,9,1955.43,965.98,386203,6671531,3862036671531,26.1260,12
235,6,0,1908.41,1529.52,386156,6672094,3861566672094,8.7212,10
236,6,1,1379.31,1522.41,385627,6672087,3856276672087,7.2416,10
237,6,10,1349.99,1556.91,385598,6672122,3855986672122,10.3221,5
238,6,11,1052.21,1172.77,385300,6671738,3853006671738,4.5761,7
239,6,12,1719.88,1296.61,385967,6671861,3859676671861,23.2669,3
240,6,13,1591.85,1293.47,385839,6671858,3858396671858,3.4790,3
241,6,14,1771.74,820.35,386019,6671385,3860196671385,17.1306,6
242,6,15,1977.52,901.42,386225,6671466,3862256671466,25.6427,12
243,6,16,1772.7,893.14,386020,6671458,3860206671458,6.5119,6
244,6,17,1791.4,1110.79,386039,6671676,3860396671676,11.7920,3
245,6,18,1549.22,789.04,385797,6671354,3857976671354,7.5027,6
246,6,19,1094.4,1325.41,385342,6671890,3853426671890,8.0878,7
247,6,2,1975.18,967.76,386223,6671533,3862236671533,23.8294,12
248,6,20,1917.28,966.0,386165,6671531,3861656671531,34.7110,12
249,6,21,1886.77,557.23,386134,6671122,3861346671122,7.9910,4
250,6,22,1791.28,1113.99,386039,6671679,3860396671679,10.6386,3
251,6,23,1025.33,998.11,385273,6671563,3852736671563,19.9072,1
252,6,24,1412.66,1289.22,385660,6671854,3856606671854,6.0043,7
253,6,25,1049.21,1303.6,385297,6671868,3852976671868,12.2875,5
254,6,26,1896.02,1232.74,386144,6671798,3861446671798,28.4350,3
255,6,27,1241.98,661.04,385490,6671226,3854906671226,9.4281,11
256,6,28,1215.27,1452.95,385463,6672018,3854636672018,14.2157,5
257,6,29,1778.72,657.0,386026,6671222,3860266671222,24.5032,6
258,6,3,1865.5,1204.53,386113,6671769,3861136671769,10.6500,3
259,6,30,1270.04,617.98,385518,6671183,3855186671183,6.2457,11
260,6,31,1554.56,1270.96,385802,6671836,3858026671836,2.9882,3
261,6,32,1271.02,808.07,385519,6671373,3855196671373,11.7742,2
262,6,33,1863.86,1235.62,386111,6671800,3861116671800,11.8579,3
263,6,34,1291.07,952.16,385539,6671517,3855396671517,3.7736,8
264,6,35,1113.61,862.16,385361,6671427,3853616671427,9.3891,1
265,6,36,1648.35,1298.67,385896,6671864,3858966671864,12.3186,3
