,time,vehicle,x,y,east,north,coor,sinr,site
215,27,7,1777.05,1297.52,386025,6671862,3.86026E+12,16.8394,3
216,28,0,1459.5,1409.54,385707,6671974,3.85708E+12,4.3186,10
217,28,1,1878,748.58,386126,6671313,3.86127E+12,10.0015,6
218,28,2,1775.05,771.78,386023,6671337,3.86024E+12,18.4352,6
219,28,3,1384.77,632.14,385632,6671197,3.85633E+12,7.247,9
220,28,4,1488.05,1402.28,385736,6671967,3.85737E+12,3.2849,10
221,28,5,1411.25,1196.73,385659,6671762,3.8566E+12,0.0499,8
222,28,6,1178.72,748.17,385426,6671313,3.85427E+12,2.2269,11
223,28,7,1769.81,1297.38,386017,6671862,3.86018E+12,16.6798,3
224,29,0,1463.91,1403.47,385711,6671968,3.85712E+12,5.2974,10
225,29,1,1878.28,740.55,386126,6671305,3.86127E+12,-0.8802,6
226,29,2,1774.82,778.16,386022,6671343,3.86023E+12,18.1824,6
227,29,3,1392.11,636.91,385640,6671202,3.85641E+12,9.323,9
228,29,4,1484.33,1407.66,385732,6671973,3.85733E+12,2.3248,10
229,29,5,1406.79,1193.83,385654,6671759,3.85655E+12,5.8748,8
230,29,6,1178.72,748.17,385426,6671313,3.85427E+12,2.2269,11
231,29,7,1762.4,1297.23,386010,6671862,3.86011E+12,5.4284,3
232,30,0,1468.59,1396.94,385716,6671962,3.85717E+12,4.0058,10
233,30,1,1878.54,731.84,386126,6671297,3.86127E+12,-2.0025,6
234,30,2,1774.57,784.66,386022,6671350,3.86023E+12,18.1709,6
235,30,3,1398.58,641.13,385646,6671206,3.85647E+12,11.3695,9
236,30,4,1480.56,1413.11,385728,6671978,3.85729E+12,1.1236,10
237,30,5,1401.16,1190.17,385649,6671755,3.8565E+12,7.9076,8
238,30,6,1178.72,748.17,385426,6671313,3.85427E+12,2.2269,11
239,30,7,1754.9,1297.06,386002,6671862,3.86003E+12,18.2747,3
240,31,0,1472.14,1389.15,385720,6671954,3.85721E+12,3.2317,10
241,31,1,1878.78,723.21,386126,6671288,3.86127E+12,-1.8323,6
242,31,2,1774.35,790.24,386022,6671355,3.86023E+12,18.1882,6
243,31,3,1406.12,646.04,385654,6671211,3.85655E+12,14.0907,9
244,31,4,1476.83,1418.52,385724,6671983,3.85725E+12,-0.1845,10
245,31,5,1395.09,1186.23,385643,6671751,3.85644E+12,7.9867,8
246,31,6,1178.72,748.17,385426,6671313,3.85427E+12,2.2269,11
247,31,7,1746.72,1296.93,385994,6671862,3.85995E+12,16.6464,3
248,32,0,1476.65,1382.54,385724,6671947,3.85725E+12,2.2435,10
249,32,1,1879,715.16,386127,6671280,3.86128E+12,-1.0606,4
250,32,2,1774.14,796.23,386022,6671361,3.86023E+12,18.3444,6
251,32,3,1413.55,650.88,385661,6671216,3.85662E+12,26.9255,9
252,32,4,1472.91,1424.19,385720,6671989,3.85721E+12,0.7906,10
253,32,5,1388.91,1182.21,385636,6671747,3.85637E+12,6.6032,8
254,32,6,1178.72,748.17,385426,6671313,3.85427E+12,2.2269,11
255,32,7,1738.77,1296.84,385986,6671862,3.85987E+12,16.5993,3
256,33,0,1480.88,1376.27,385728,6671941,3.85729E+12,0.1227,10
257,33,1,1879.23,706.56,386127,6671271,3.86128E+12,-0.3371,4
258,33,2,1773.99,801.39,386022,6671366,3.86023E+12,17.4981,6
259,33,3,1420.6,655.51,385668,6671220,3.85669E+12,27.5866,9
260,33,4,1469.14,1429.64,385717,6671994,3.85718E+12,2.0867,10
261,33,5,1383.8,1178.89,385631,6671744,3.85632E+12,6.3605,8
262,33,6,1178.72,748.17,385426,6671313,3.85427E+12,2.2269,11
263,33,7,1731.38,1296.75,385979,6671862,3.8598E+12,16.4536,3
264,34,0,1483.71,1368.82,385731,6671934,3.85732E+12,-0.1795,10
265,34,1,1879.46,698.39,386127,6671263,3.86128E+12,3.1059,4
266,34,2,1774.48,807.76,386022,6671373,3.86023E+12,17.6171,6
267,34,3,1427.7,660.15,385675,6671225,3.85676E+12,28.5002,9
268,34,4,1464.84,1435.87,385712,6672001,3.85713E+12,4.5791,10
269,34,5,1378.04,1175.14,385626,6671740,3.85627E+12,7.5607,8
270,34,6,1178.72,748.17,385426,6671313,3.85427E+12,2.2269,11
271,34,7,1724.06,1296.67,385972,6671862,3.85973E+12,16.3928,3
272,35,0,1487.63,1361.72,385735,6671927,3.85736E+12,2.1474,10
273,35,1,1879.7,689.78,386127,6671255,3.86128E+12,3.1124,4
274,35,2,1775.12,813.75,386023,6671379,3.86024E+12,17.8744,6
275,35,4,1461.25,1441.33,385709,6672006,3.8571E+12,5.8944,10
276,35,5,1372.58,1171.59,385620,6671736,3.85621E+12,7.3305,8
277,35,6,1178.72,748.17,385426,6671313,3.85427E+12,2.2269,11
278,35,7,1715.77,1296.55,385963,6671861,3.85964E+12,17.2721,3
279,36,0,1491.76,1355.43,385739,6671920,3.8574E+12,4.9261,10
280,36,1,1879.91,681.94,386127,6671247,3.86128E+12,2.8465,4
281,36,2,1774.97,819.47,386023,6671384,3.86024E+12,18.2583,6
282,36,4,1457.46,1448.11,385705,6672013,3.85706E+12,6.1099,10
283,36,5,1367.54,1168.32,385615,6671733,3.85616E+12,9.0013,8
284,36,6,1178.72,748.17,385426,6671313,3.85427E+12,2.2269,11
285,36,7,1707.58,1296.44,385955,6671861,3.85956E+12,17.0423,3
286,37,0,1496.11,1349.19,385744,6671914,3.85745E+12,5.6995,10
287,37,1,1880.13,674.34,386128,6671239,3.86129E+12,2.7908,4
288,37,2,1774.77,826.27,386022,6671391,3.86023E+12,15.0602,6
289,37,4,1453.69,1454.08,385701,6672019,3.85702E+12,9.2923,10
290,37,5,1361.58,1164.47,385609,6671729,3.8561E+12,3.5146,8
291,37,6,1178.72,748.17,385426,6671313,3.85427E+12,2.2269,11
292,37,7,1699.5,1296.32,385947,6671861,3.85948E+12,16.8346,3
293,38,0,1500.72,1342.52,385748,6671907,3.85749E+12,4.9329,10
294,38,1,1880.37,666.16,386128,6671231,3.86129E+12,2.8892,4
295,38,2,1774.59,832.55,386022,6671397,3.86023E+12,18.4505,6
296,38,4,1449.9,1459.75,385697,6672025,3.85698E+12,7.8974,10
297,38,5,1355.99,1160.89,385604,6671726,3.85605E+12,3.2896,8
298,38,6,1178.72,748.17,385426,6671313,3.85427E+12,2.2269,11
299,38,7,1692.17,1296.22,385940,6671861,3.85941E+12,16.7155,3
300,39,0,1505.49,1335.6,385753,6671900,3.85754E+12,-1.32,10
301,39,1,1880.63,657.34,386128,6671222,3.86129E+12,3.0333,4
302,39,2,1774.4,839.3,386022,6671404,3.86023E+12,18.8639,6
303,39,4,1445.16,1465.83,385693,6672031,3.85694E+12,7.1368,10
304,39,5,1350.85,1157.61,385598,6671722,3.85599E+12,4.9421,8
305,39,6,1178.72,748.17,385426,6671313,3.85427E+12,2.2269,11
306,39,7,1684.74,1296.11,385932,6671861,3.85933E+12,16.55,3
307,40,0,1510.29,1328.65,385758,6671893,3.85759E+12,-2.8311,10
308,40,1,1880.85,649.57,386128,6671214,3.86129E+12,2.8268,4
309,40,2,1774.25,844.32,386022,6671409,3.86023E+12,18.967,6
310,40,4,1440.83,1470.79,385688,6672036,3.85689E+12,5.8072,10
311,40,5,1345,1153.86,385593,6671719,3.85594E+12,4.0026,8
312,40,6,1178.72,748.17,385426,6671313,3.85427E+12,2.2269,11
313,40,7,1676.99,1296.01,385925,6671861,3.85926E+12,16.406,3
314,41,0,1514.75,1322.17,385762,6671887,3.85763E+12,-0.8023,10
315,41,1,1881.08,641.78,386129,6671207,3.8613E+12,2.6531,4
316,41,2,1774.13,849.17,386022,6671414,3.86023E+12,18.7917,6
317,41,4,1436.02,1476.33,385684,6672041,3.85685E+12,4.2865,10
318,41,5,1339.56,1150.38,385587,6671715,3.85588E+12,4.4955,8
319,41,6,1178.72,748.17,385426,6671313,3.85427E+12,2.2269,11
320,41,7,1669.06,1295.91,385917,6671861,3.85918E+12,17.0386,3
321,42,0,1519.3,1315.57,385767,6671880,3.85768E+12,-1.3546,10
322,42,1,1881.31,633.75,386129,6671199,3.8613E+12,2.75,4
323,42,2,1773.93,855.07,386021,6671420,3.86022E+12,19.3248,6
324,42,4,1431.65,1481.93,385679,6672047,3.8568E+12,2.5487,10
325,42,5,1333.99,1146.81,385582,6671712,3.85583E+12,3.2517,8
326,42,6,1178.72,748.17,385426,6671313,3.85427E+12,2.2269,11
327,42,7,1661.68,1295.75,385909,6671861,3.8591E+12,15.687,3
328,43,0,1523.89,1308.9,385771,6671874,3.85772E+12,-2.3895,10
329,43,1,1881.57,625.48,386129,6671190,3.8613E+12,2.9066,4
330,43,2,1773.7,861.75,386021,6671427,3.86022E+12,17.6845,6
331,43,4,1427.38,1488,385675,6672053,3.85676E+12,0.8133,10
332,43,5,1332.1,1145.61,385580,6671710,3.85581E+12,6.3011,8
333,43,6,1178.72,748.17,385426,6671313,3.85427E+12,2.2269,11
334,43,7,1654.31,1295.6,385902,6671860,3.85903E+12,5.9352,3
335,44,0,1528.11,1302.79,385776,6671868,3.85777E+12,-3.0596,10
336,44,1,1881.83,617.16,386129,6671182,3.8613E+12,3.0262,4
337,44,2,1773.48,868.65,386021,6671433,3.86022E+12,7.4901,6
338,44,4,1423.37,1493.66,385671,6672059,3.85672E+12,-0.8935,10
339,44,5,1331.83,1145.43,385579,6671710,3.8558E+12,3.2138,8
340,44,6,1178.72,748.17,385426,6671313,3.85427E+12,2.2269,11
341,44,7,1646.13,1295.43,385894,6671860,3.85895E+12,4.8475,3
342,45,0,1531.71,1297.57,385779,6671862,3.8578E+12,-3.3613,10
343,45,1,1882.07,609.35,386130,6671174,3.86131E+12,1.1599,4
344,45,2,1773.3,874.32,386021,6671439,3.86022E+12,6.8362,6
345,45,4,1419.14,1499.6,385667,6672064,3.85668E+12,-1.8757,10
346,45,5,1331.71,1145.35,385579,6671710,3.8558E+12,3.2138,8
347,45,6,1178.72,748.17,385426,6671313,3.85427E+12,2.2269,11
348,45,7,1637.77,1295.27,385885,6671860,3.85886E+12,3.4934,3
349,46,0,1533.52,1294.95,385781,6671860,3.85782E+12,-3.3926,10
350,46,1,1882.33,601,386130,6671166,3.86131E+12,0.7562,4
351,46,2,1773.11,880.42,386021,6671445,3.86022E+12,3.0818,6
352,46,4,1415.32,1504.96,385663,6672070,3.85664E+12,-0.3929,10
353,46,5,1331.7,1145.35,385579,6671710,3.8558E+12,3.2138,8
354,46,6,1178.72,748.17,385426,6671313,3.85427E+12,2.2269,11
355,46,7,1629.21,1295.12,385877,6671860,3.85878E+12,2.3312,3
356,47,0,1534.02,1294.22,385782,6671859,3.85783E+12,-3.5549,10
357,47,1,1882.58,593.1,386130,6671158,3.86131E+12,0.8041,4
358,47,2,1772.9,887.17,386020,6671452,3.86021E+12,1.2996,6
359,47,4,1410.98,1511.06,385659,6672076,3.8566E+12,-1.0196,10
360,47,5,1331.7,1145.35,385579,6671710,3.8558E+12,3.2138,8
361,47,6,1178.72,748.17,385426,6671313,3.85427E+12,2.2269,11
362,47,7,1623.95,1295.08,385872,6671860,3.85873E+12,0.9693,3
363,48,0,1534.04,1294.19,385782,6671859,3.85783E+12,-3.5549,10
364,48,1,1882.83,584.97,386130,6671150,3.86131E+12,0.7892,4
365,48,2,1772.68,893.95,386020,6671459,3.86021E+12,-1.5895,6
366,48,4,1407,1516.65,385655,6672081,3.85656E+12,-1.163,10
367,48,5,1331.7,1145.35,385579,6671710,3.8558E+12,3.2138,8
368,48,6,1178.72,748.17,385426,6671313,3.85427E+12,2.2269,11
369,48,7,1622.98,1295.08,385871,6671860,3.85872E+12,0.4513,3
370,49,0,1534.04,1294.19,385782,6671859,3.85783E+12,-3.5549,10
